交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
XLM-USDT-SWAP,多,2025-07-07 00:00:00,0.25338534,2025-07-07 08:00:00,0.24846515,5517.037047,-28.81,-0.2061,1.66,移动止盈/止损,0.1559,-1061.92,0.1559,-0.1386,0.3333,-0.003223,0
DOGE-USDT-SWAP,多,2025-07-07 03:00:00,0.17499750,2025-07-07 12:00:00,0.16943305,5667.416820,-32.71,-0.3298,1.17,移动止盈/止损,0.1108,-1094.62,0.1108,-0.1418,0.3750,-0.003673,0
ZEC-USDT-SWAP,多,2025-07-08 18:00:00,43.39477502,2025-07-09 02:00:00,40.95590400,34.495978,-85.88,-0.5737,1.75,移动止盈/止损,0.1719,-1180.50,0.1719,-0.1501,0.3333,-0.009737,1
UNI-USDT-SWAP,多,2025-07-08 18:00:00,7.76577650,2025-07-09 03:00:00,7.55024490,122.482946,-27.52,-0.2894,1.13,移动止盈/止损,0.1068,-1208.03,0.1068,-0.1527,0.3750,-0.003131,0
BCH-USDT-SWAP,多,2025-07-09 03:00:00,513.13706506,2025-07-10 14:00:00,502.87970700,7.121741,-77.39,-0.2118,4.34,移动止盈/止损,0.3982,-1285.42,0.3982,-0.1602,1.4583,-0.008881,1
TRUMP-USDT-SWAP,多,2025-07-10 15:00:00,9.79733998,2025-07-12 12:00:00,9.65303460,445.465771,-69.48,-0.1592,5.20,移动止盈/止损,0.4085,-1354.90,0.4085,-0.1669,1.8750,-0.008037,3
LINK-USDT-SWAP,多,2025-07-08 18:00:00,14.57386684,2025-07-12 15:00:00,14.82751710,331.794646,78.31,0.1619,5.85,移动止盈/止损,0.5048,-1276.59,0.5048,-0.1593,3.8750,0.008977,3
HYPE-USDT-SWAP,多,2025-07-13 15:00:00,48.75726492,2025-07-14 15:00:00,47.71722780,69.770957,-76.60,-0.2252,4.04,移动止盈/止损,0.2758,-1353.20,0.2758,-0.1667,1.0000,-0.008859,1
XLM-USDT-SWAP,多,2025-07-09 03:00:00,0.27588873,2025-07-15 03:00:00,0.44147585,18648.421508,3079.91,5.9864,8.03,移动止盈/止损,0.6019,1726.72,0.6019,0.0000,6.0000,0.262642,3
WIF-USDT-SWAP,多,2025-07-16 09:00:00,1.09110910,2025-07-17 03:00:00,1.04929506,741.856397,-31.97,-0.3950,0.95,移动止盈/止损,0.0679,1694.74,0.0679,-0.0027,0.7500,-0.002734,0
BONK-USDT-SWAP,多,2025-07-13 18:00:00,0.03088341,2025-07-18 14:00:00,0.03353765,100782.222168,263.60,0.8469,3.90,移动止盈/止损,0.2776,1958.35,0.2776,0.0000,4.8333,0.022044,3
XRP-USDT-SWAP,多,2025-07-17 21:00:00,3.58085452,2025-07-19 12:00:00,3.41565840,402.948067,-68.26,-0.4731,1.69,移动止盈/止损,0.1189,1890.09,0.1189,-0.0057,1.6250,-0.005741,1
WIF-USDT-SWAP,多,2025-07-20 15:00:00,1.27292728,2025-07-20 22:00:00,1.20187980,539.938634,-39.16,-0.5698,0.80,移动止盈/止损,0.0538,1850.93,0.0538,-0.0090,0.2917,-0.003305,0
LINK-USDT-SWAP,多,2025-07-20 15:00:00,19.71397120,2025-07-20 22:00:00,19.31306850,56.985735,-24.18,-0.2152,1.33,移动止盈/止损,0.0880,1826.75,0.0880,-0.0110,0.2917,-0.002045,0
LTC-USDT-SWAP,多,2025-07-21 06:00:00,120.72207100,2025-07-21 12:00:00,116.74832400,9.806850,-40.37,-0.3410,1.40,移动止盈/止损,0.0931,1786.38,0.0931,-0.0144,0.2500,-0.003425,0
ETH-USDT-SWAP,多,2025-07-16 06:00:00,3385.80843618,2025-07-22 09:00:00,3659.75398800,2.186042,589.62,0.7966,9.24,对齐失效,0.6241,2375.99,0.6241,0.0000,6.1250,0.047642,3
AVAX-USDT-SWAP,多,2025-07-21 03:00:00,25.44554430,2025-07-22 15:00:00,24.96950280,55.268197,-27.98,-0.1990,1.67,对齐失效,0.1113,2348.01,0.1113,-0.0023,1.5000,-0.002266,0
