交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
ETH-USDT-SWAP,多,2025-06-26 02:00:00,2492.45922100,2025-06-26 12:00:00,2438.52612300,1.105405,-62.89,-0.0228,3.27,移动止盈/止损,0.2246,2292.97,0.2246,-0.0486,0.4167,-0.005116,0
BCH-USDT-SWAP,多,2025-06-27 16:00:00,507.28072300,2025-06-28 06:00:00,497.76021900,5.062837,-51.25,-0.0200,3.05,对齐失效,0.2089,2241.72,0.2089,-0.0526,0.5833,-0.004187,0
TRX-USDT-SWAP,多,2025-06-28 10:00:00,0.27549755,2025-06-28 16:00:00,0.27373262,35630.694526,-74.63,-0.0076,11.74,移动止盈/止损,0.8019,2167.09,0.8019,-0.0583,0.2500,-0.006134,0
RENDER-USDT-SWAP,多,2025-06-29 00:00:00,3.26832680,2025-06-29 03:00:00,3.19868010,913.430240,-67.16,-0.0225,3.54,移动止盈/止损,0.2446,2099.93,0.2446,-0.0635,0.1250,-0.005551,0
LTC-USDT-SWAP,多,2025-06-28 10:00:00,86.21937038,2025-06-30 02:00:00,87.50124900,138.120013,162.66,0.0137,14.40,移动止盈/止损,0.9626,2262.59,0.9626,-0.0510,1.6667,0.013265,2
UNI-USDT-SWAP,多,2025-06-29 10:00:00,7.25272520,2025-06-30 09:00:00,7.14828510,350.088735,-39.59,-0.0156,3.02,移动止盈/止损,0.2081,2223.00,0.2081,-0.0540,0.9583,-0.003239,0
BOME-USDT-SWAP,多,2025-06-28 22:00:00,0.00154415,2025-06-30 10:00:00,0.00156984,1288240.809013,30.69,0.0154,2.41,移动止盈/止损,0.1629,2253.69,0.1629,-0.0516,1.5000,0.002504,0
BONK-USDT-SWAP,多,2025-06-28 18:00:00,0.01448745,2025-06-30 12:00:00,0.01432857,137156.635522,-24.16,-0.0122,2.37,移动止盈/止损,0.1621,2229.52,0.1621,-0.0535,1.7500,-0.001976,0
TRX-USDT-SWAP,多,2025-07-02 08:00:00,0.28093247,2025-07-03 04:00:00,0.28303169,27913.136268,49.15,0.0063,9.45,移动止盈/止损,0.6429,2278.67,0.6429,-0.0497,0.8333,0.004003,2
BONK-USDT-SWAP,多,2025-07-03 06:00:00,0.01730373,2025-07-03 12:00:00,0.01656934,62951.189567,-47.51,-0.0436,1.28,移动止盈/止损,0.0883,2231.16,0.0883,-0.0534,0.2500,-0.003884,0
BNB-USDT-SWAP,多,2025-07-02 08:00:00,660.81225152,2025-07-03 15:00:00,656.89430400,15.975289,-75.22,-0.0071,12.63,移动止盈/止损,0.8620,2155.94,0.8620,-0.0592,1.2917,-0.006188,1
BOME-USDT-SWAP,多,2025-07-02 20:00:00,0.00167417,2025-07-03 15:00:00,0.00158684,586.748945,-0.05,-0.0533,0.00,移动止盈/止损,0.0001,2155.89,0.0001,-0.0592,0.7917,-0.000004,0
NEAR-USDT-SWAP,多,2025-07-03 04:00:00,2.31881335,2025-07-03 15:00:00,2.25477450,2095.014157,-139.91,-0.0288,5.75,移动止盈/止损,0.3977,2015.98,0.3977,-0.0700,0.4583,-0.011644,1
BONK-USDT-SWAP,多,2025-07-05 16:00:00,0.01871287,2025-07-05 17:00:00,0.01813119,70182.282131,-42.38,-0.0323,1.55,移动止盈/止损,0.1093,1973.60,0.1093,-0.0733,0.0417,-0.003539,0
XLM-USDT-SWAP,多,2025-07-06 22:00:00,0.25181522,2025-07-08 01:00:00,0.24627537,25657.217949,-149.81,-0.0232,7.67,移动止盈/止损,0.5412,1823.80,0.5412,-0.0849,1.1250,-0.012670,1
ZEC-USDT-SWAP,多,2025-07-08 16:00:00,43.29703657,2025-07-09 02:00:00,40.95590400,73.007221,-174.61,-0.0552,3.69,移动止盈/止损,0.2743,1649.19,0.2743,-0.0984,0.4167,-0.014989,1
LINK-USDT-SWAP,多,2025-07-08 18:00:00,14.03289180,2025-07-10 00:00:00,14.14658520,424.339237,41.07,0.0069,7.17,移动止盈/止损,0.4815,1690.26,0.4815,-0.0952,1.2500,0.003513,2
UNI-USDT-SWAP,多,2025-07-08 12:00:00,7.75092654,2025-07-10 14:00:00,8.08019190,742.038180,237.28,0.0413,7.05,移动止盈/止损,0.5011,1927.54,0.5011,-0.0769,2.0833,0.019894,3
ETH-USDT-SWAP,多,2025-07-09 06:00:00,2689.41063588,2025-07-10 14:00:00,2774.92248000,2.345945,192.91,0.0306,7.69,移动止盈/止损,0.5284,2120.45,0.5284,-0.0620,1.3333,0.015917,2
WIF-USDT-SWAP,多,2025-07-10 04:00:00,1.03504687,2025-07-11 00:00:00,1.03189680,3313.715974,-14.55,-0.0042,4.11,移动止盈/止损,0.2628,2105.90,0.2628,-0.0631,0.8333,-0.001202,2
BOME-USDT-SWAP,多,2025-07-10 14:00:00,0.00177464,2025-07-11 00:00:00,0.00189381,2083335.697929,243.69,0.0659,4.59,移动止盈/止损,0.3004,2349.59,0.3004,-0.0442,0.4167,0.019733,2
BOME-USDT-SWAP,多,2025-07-11 02:00:00,0.00197020,2025-07-11 15:00:00,0.00188081,697939.868177,-64.00,-0.0465,1.61,移动止盈/止损,0.1036,2285.59,0.1036,-0.0492,0.5417,-0.005209,0
SUI-USDT-SWAP,多,2025-07-10 16:00:00,3.41474647,2025-07-11 21:00:00,3.40965900,1188.980363,-10.92,-0.0027,4.87,移动止盈/止损,0.3127,2274.68,0.3127,-0.0500,1.2083,-0.000889,1
NEAR-USDT-SWAP,多,2025-07-08 18:00:00,2.34197116,2025-07-11 22:00:00,2.49475050,4124.519077,618.17,0.0640,11.97,移动止盈/止损,0.7975,2892.85,0.7975,-0.0022,3.1667,0.047947,3
OP-USDT-SWAP,多,2025-07-11 02:00:00,0.68347346,2025-07-11 22:00:00,0.65563443,5311.243610,-152.13,-0.0419,4.27,移动止盈/止损,0.2714,2740.72,0.2714,-0.0139,0.8333,-0.011940,1
XLM-USDT-SWAP,多,2025-07-11 16:00:00,0.40554271,2025-07-13 10:00:00,0.42263773,6742.016817,111.90,0.0409,3.35,移动止盈/止损,0.2268,2852.62,0.2268,-0.0053,1.7500,0.008707,2
XRP-USDT-SWAP,多,2025-07-13 18:00:00,2.86068604,2025-07-13 21:00:00,2.80121985,760.310601,-47.80,-0.0220,2.58,移动止盈/止损,0.1690,2804.83,0.1690,-0.0090,0.1250,-0.003733,0
HYPE-USDT-SWAP,多,2025-07-13 18:00:00,49.05990550,2025-07-13 22:00:00,48.24817470,60.459087,-52.61,-0.0177,3.53,移动止盈/止损,0.2305,2752.22,0.2305,-0.0131,0.1667,-0.004125,0
XLM-USDT-SWAP,多,2025-07-13 14:00:00,0.48056144,2025-07-14 11:00:00,0.45846415,3488.824834,-79.06,-0.0472,1.97,移动止盈/止损,0.1361,2673.16,0.1361,-0.0192,0.8750,-0.006238,1
SUI-USDT-SWAP,多,2025-07-14 00:00:00,3.81549994,2025-07-14 14:00:00,3.91940802,2136.999839,212.13,0.0260,9.92,移动止盈/止损,0.6529,2885.30,0.6529,-0.0028,0.5833,0.016463,3
TAO-USDT-SWAP,多,2025-07-14 04:00:00,426.55265100,2025-07-14 15:00:00,408.50914500,3.684890,-68.33,-0.0435,1.85,移动止盈/止损,0.1209,2816.96,0.1209,-0.0080,0.4583,-0.005332,0
LINK-USDT-SWAP,多,2025-07-14 12:00:00,16.34263410,2025-07-14 15:00:00,15.96740310,147.974351,-58.39,-0.0241,2.87,移动止盈/止损,0.1872,2758.57,0.1872,-0.0126,0.1250,-0.004577,0
BONK-USDT-SWAP,多,2025-07-13 18:00:00,0.02876726,2025-07-15 07:00:00,0.02865013,108243.038999,-16.41,-0.0053,3.73,移动止盈/止损,0.2532,2742.16,0.2532,-0.0138,1.5417,-0.001288,2
WIF-USDT-SWAP,多,2025-07-16 12:00:00,1.11351134,2025-07-17 01:00:00,1.06479351,1282.528283,-64.16,-0.0449,1.68,移动止盈/止损,0.1121,2678.00,0.1121,-0.0188,0.5417,-0.005061,0
OP-USDT-SWAP,多,2025-07-16 14:00:00,0.72947294,2025-07-17 01:00:00,0.69833016,2150.348705,-68.81,-0.0439,1.84,移动止盈/止损,0.1224,2609.19,0.1224,-0.0241,0.4583,-0.005457,0
ARB-USDT-SWAP,多,2025-07-16 14:00:00,0.44924492,2025-07-17 03:00:00,0.43015698,3375.373069,-66.21,-0.0437,1.78,移动止盈/止损,0.1183,2542.98,0.1183,-0.0293,0.5417,-0.005279,0
ETH-USDT-SWAP,多,2025-07-16 06:00:00,3301.64863161,2025-07-17 13:00:00,3400.81988400,3.690639,351.16,0.0288,14.84,移动止盈/止损,0.9689,2894.15,0.9689,-0.0021,1.2917,0.027235,3
XRP-USDT-SWAP,多,2025-07-17 04:00:00,3.16012324,2025-07-17 13:00:00,3.22857711,2007.992408,129.76,0.0204,7.70,移动止盈/止损,0.4910,3023.91,0.4910,0.0000,0.3750,0.009963,2
ADA-USDT-SWAP,多,2025-07-17 22:00:00,0.85514444,2025-07-18 07:00:00,0.85411458,5506.467874,-11.32,-0.0024,5.65,移动止盈/止损,0.3597,3012.59,0.3597,-0.0009,0.3750,-0.000870,2
LINK-USDT-SWAP,多,2025-07-17 22:00:00,18.37293251,2025-07-18 07:00:00,18.52214760,291.788253,37.08,0.0069,6.46,移动止盈/止损,0.4140,3049.67,0.4140,0.0000,0.3750,0.002841,2
