交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
VIRTUAL-USDT-SWAP,多,2025-05-27 08:00:00,2.43740069,2025-05-28 09:00:00,2.42685729,1236.900456,-16.65,-0.0055,3.61,移动止盈/止损,0.3147,-373.49,0.3147,-0.1435,1.0417,-0.001721,2
SUI-USDT-SWAP,多,2025-05-28 08:00:00,3.72457242,2025-05-28 14:00:00,3.57564240,557.171719,-85.42,-0.0412,2.44,移动止盈/止损,0.2150,-458.91,0.2150,-0.1510,0.2500,-0.008909,0
ARB-USDT-SWAP,多,2025-05-28 12:00:00,0.41364136,2025-05-28 14:00:00,0.40045995,3939.891193,-53.86,-0.0330,1.92,移动止盈/止损,0.1680,-512.77,0.1680,-0.1558,0.0833,-0.005649,0
TON-USDT-SWAP,多,2025-05-28 10:00:00,3.37204087,2025-05-28 21:00:00,3.26427354,536.840092,-59.99,-0.0331,2.14,移动止盈/止损,0.1969,-572.76,0.1969,-0.1611,0.4583,-0.006332,1
UNI-USDT-SWAP,多,2025-05-28 08:00:00,6.92269220,2025-05-28 22:00:00,6.63733620,147.246656,-43.22,-0.0424,1.20,移动止盈/止损,0.1056,-615.98,0.1056,-0.1649,0.5833,-0.004582,0
OP-USDT-SWAP,多,2025-05-29 00:00:00,0.80568056,2025-05-29 08:00:00,0.78232176,1358.427495,-33.03,-0.0302,1.29,对齐失效,0.1166,-649.00,0.1166,-0.1679,0.3333,-0.003514,0
UNI-USDT-SWAP,多,2025-05-29 00:00:00,7.36941173,2025-05-29 12:00:00,7.04529540,263.524651,-87.69,-0.0452,2.28,移动止盈/止损,0.2086,-736.69,0.2086,-0.1756,0.5000,-0.009418,1
ARB-USDT-SWAP,多,2025-05-29 00:00:00,0.43125733,2025-05-29 12:00:00,0.41365863,5179.407899,-93.78,-0.0420,2.63,移动止盈/止损,0.2389,-830.47,0.2389,-0.1839,0.5000,-0.010174,1
ETH-USDT-SWAP,多,2025-05-29 00:00:00,2743.83494943,2025-05-29 12:00:00,2691.97077600,1.401490,-77.26,-0.0201,4.57,移动止盈/止损,0.4076,-907.73,0.4076,-0.1908,0.5000,-0.008453,1
ZEN-USDT-SWAP,多,2025-05-30 08:00:00,10.51605150,2025-05-30 09:00:00,10.03199670,54.608432,-27.11,-0.0472,0.67,移动止盈/止损,0.0632,-934.84,0.0632,-0.1932,0.0417,-0.002975,0
ZEN-USDT-SWAP,多,2025-05-30 12:00:00,10.68306820,2025-05-30 16:00:00,9.33406650,30.580461,-41.62,-0.1274,0.37,移动止盈/止损,0.0360,-976.46,0.0360,-0.1969,0.1667,-0.004588,0
ZEC-USDT-SWAP,多,2025-06-03 04:00:00,55.28552800,2025-06-03 06:00:00,53.92460700,27.509171,-39.24,-0.0258,1.80,移动止盈/止损,0.1681,-1015.70,0.1681,-0.2003,0.0833,-0.004345,0
ZEN-USDT-SWAP,多,2025-06-02 20:00:00,11.20858922,2025-06-03 14:00:00,11.64883500,146.246167,62.38,0.0381,2.01,移动止盈/止损,0.1885,-953.32,0.1885,-0.1948,0.7500,0.006859,1
HYPE-USDT-SWAP,多,2025-06-03 14:00:00,38.14281390,2025-06-03 17:00:00,36.81331830,31.735999,-43.62,-0.0360,1.43,移动止盈/止损,0.1338,-996.94,0.1338,-0.1987,0.1250,-0.004820,0
