交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
ETH-USDT-SWAP,多,2025-07-18 04:00:00,3619.63192700,2025-07-18 20:00:00,3516.00836400,0.793478,-85.62,-0.0071,3.40,移动止盈/止损,0.2391,1778.43,0.2391,-0.0446,0.6667,-0.007269,0
SUI-USDT-SWAP,多,2025-07-26 12:00:00,4.16622852,2025-07-26 21:00:00,4.20067989,1431.754222,42.14,0.0036,7.19,移动止盈/止损,0.5137,1820.56,0.5137,-0.0411,0.3750,0.003565,1
BCH-USDT-SWAP,多,2025-07-27 16:00:00,604.07040100,2025-07-28 07:00:00,580.10198400,5.062495,-124.94,-0.0106,3.60,移动止盈/止损,0.2587,1695.63,0.2587,-0.0513,0.6250,-0.010682,0
BNB-USDT-SWAP,多,2025-07-27 16:00:00,831.90524886,2025-07-28 13:00:00,843.55563600,14.081067,149.89,0.0127,14.16,移动止盈/止损,1.0001,1845.52,1.0001,-0.0391,0.8750,0.012654,2
AVAX-USDT-SWAP,多,2025-07-28 04:00:00,26.53065280,2025-07-28 14:00:00,26.33836590,113.838548,-25.50,-0.0021,3.61,移动止盈/止损,0.2531,1820.02,0.2531,-0.0412,0.4167,-0.002157,0
OP-USDT-SWAP,多,2025-07-28 08:00:00,0.82338233,2025-07-28 19:00:00,0.77412258,1560.532440,-78.37,-0.0065,1.50,移动止盈/止损,0.1063,1741.65,0.1063,-0.0475,0.4583,-0.006674,0
TON-USDT-SWAP,多,2025-07-31 04:00:00,3.54117149,2025-07-31 20:00:00,3.55694427,2678.825915,30.84,0.0026,11.41,移动止盈/止损,0.8121,1772.50,0.8121,-0.0450,0.6667,0.002620,2
LTC-USDT-SWAP,多,2025-08-04 00:00:00,111.48114700,2025-08-04 09:00:00,112.88871000,36.195634,46.07,0.0039,4.87,移动止盈/止损,0.3428,1818.57,0.3428,-0.0413,0.3750,0.003899,0
LTC-USDT-SWAP,多,2025-08-04 16:00:00,119.13191200,2025-08-06 00:00:00,118.89810900,22.674117,-8.54,-0.0007,3.24,移动止盈/止损,0.2286,1810.03,0.2286,-0.0420,1.3333,-0.000723,0
ETH-USDT-SWAP,多,2025-08-07 12:00:00,3848.85484700,2025-08-07 16:00:00,3812.79868200,1.232772,-50.12,-0.0042,5.67,移动止盈/止损,0.3999,1759.92,0.3999,-0.0461,0.1667,-0.004262,0
LINK-USDT-SWAP,多,2025-08-07 16:00:00,17.94379420,2025-08-07 19:00:00,18.28417140,148.088945,47.19,0.0040,3.22,移动止盈/止损,0.2239,1807.10,0.2239,-0.0422,0.1250,0.003997,0
TRX-USDT-SWAP,多,2025-08-06 20:00:00,0.33741164,2025-08-07 20:00:00,0.33868613,34833.089868,30.26,0.0026,14.13,移动止盈/止损,1.0001,1837.37,1.0001,-0.0398,1.0000,0.002557,1
UNI-USDT-SWAP,多,2025-08-07 20:00:00,10.74862683,2025-08-09 13:00:00,10.79592030,670.742551,23.05,0.0019,8.67,移动止盈/止损,0.5435,1860.42,0.5435,-0.0379,1.7083,0.001944,1
PENDLE-USDT-SWAP,多,2025-08-07 12:00:00,4.79560131,2025-08-10 14:00:00,5.48535141,1565.655125,1070.25,0.0902,9.66,移动止盈/止损,0.6265,2930.67,0.6265,0.0000,3.0833,0.082769,3
HYPE-USDT-SWAP,多,2025-08-10 16:00:00,45.72226357,2025-08-11 10:00:00,45.71542800,176.994561,-10.92,-0.0008,9.71,移动止盈/止损,0.5687,2919.75,0.5687,-0.0008,0.7500,-0.000845,1
LINK-USDT-SWAP,多,2025-08-07 20:00:00,20.21496693,2025-08-11 20:00:00,21.30186960,657.546584,698.31,0.0582,16.38,对齐失效,1.0001,3618.06,1.0001,0.0000,4.0000,0.051278,3
UNI-USDT-SWAP,多,2025-08-11 16:00:00,11.56015590,2025-08-11 22:00:00,10.99290060,156.167020,-90.70,-0.0065,2.11,移动止盈/止损,0.1294,3527.36,0.1294,-0.0067,0.2500,-0.006705,0
ARB-USDT-SWAP,多,2025-08-13 12:00:00,0.49684968,2025-08-13 13:00:00,0.52464753,5762.138955,156.64,0.0116,3.53,移动止盈/止损,0.2116,3684.00,0.2116,0.0000,0.0417,0.011447,0
OP-USDT-SWAP,多,2025-08-13 16:00:00,0.84978497,2025-08-13 22:00:00,0.87921207,2498.490532,70.93,0.0052,2.59,移动止盈/止损,0.1552,3754.94,0.1552,0.0000,0.2500,0.005157,0
ADA-USDT-SWAP,多,2025-08-13 20:00:00,0.88498849,2025-08-13 22:00:00,0.90260973,4052.890523,67.07,0.0049,4.35,移动止盈/止损,0.2619,3822.01,0.2619,0.0000,0.0833,0.004852,0
ARB-USDT-SWAP,多,2025-08-13 16:00:00,0.54965496,2025-08-14 01:00:00,0.55254474,2977.056795,6.63,0.0005,1.97,移动止盈/止损,0.1196,3828.64,0.1196,0.0000,0.3750,0.000480,0
ADA-USDT-SWAP,多,2025-08-14 00:00:00,0.95868700,2025-08-14 12:00:00,0.92290770,5374.127050,-198.35,-0.0143,6.07,移动止盈/止损,0.3787,3630.29,0.3787,-0.0143,0.5000,-0.014552,1
SOL-USDT-SWAP,多,2025-08-14 04:00:00,208.39083700,2025-08-14 12:00:00,194.42055600,14.512832,-206.26,-0.0148,3.51,移动止盈/止损,0.2166,3424.03,0.2166,-0.0293,0.3333,-0.015365,0
LINK-USDT-SWAP,多,2025-08-17 08:00:00,24.65846560,2025-08-18 02:00:00,24.78852090,110.004180,11.04,0.0008,3.26,移动止盈/止损,0.2021,3435.08,0.2021,-0.0285,0.7500,0.000822,0
BNB-USDT-SWAP,多,2025-08-20 20:00:00,873.48734000,2025-08-21 01:00:00,883.12167900,4.994043,42.85,0.0032,5.26,移动止盈/止损,0.3247,3477.93,0.3247,-0.0254,0.2083,0.003179,0
ARB-USDT-SWAP,多,2025-08-22 16:00:00,0.58031197,2025-08-23 02:00:00,0.57784221,5398.665075,-17.08,-0.0013,3.75,移动止盈/止损,0.2370,3460.84,0.2370,-0.0266,0.4167,-0.001269,1
ETH-USDT-SWAP,多,2025-08-22 16:00:00,4800.47758457,2025-08-23 02:00:00,4713.50860200,1.055486,-97.82,-0.0073,6.03,移动止盈/止损,0.3754,3363.02,0.3754,-0.0337,0.4167,-0.007320,1
ETC-USDT-SWAP,多,2025-08-22 16:00:00,24.62346210,2025-08-24 03:00:00,23.67363240,63.840652,-62.49,-0.0046,1.85,移动止盈/止损,0.1166,3300.54,0.1166,-0.0382,1.4583,-0.004698,0
HYPE-USDT-SWAP,多,2025-08-26 20:00:00,48.94989450,2025-08-27 08:00:00,48.94510500,52.470250,-3.33,-0.0003,3.08,移动止盈/止损,0.1931,3297.20,0.1931,-0.0384,0.5000,-0.000251,0
SOL-USDT-SWAP,多,2025-08-28 08:00:00,214.20141800,2025-08-28 16:00:00,207.37926000,14.767124,-104.48,-0.0079,3.74,移动止盈/止损,0.2379,3192.72,0.2379,-0.0460,0.3333,-0.007919,0
