交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
PENDLE-USDT-SWAP,多,2025-06-30 00:00:00,3.71117108,2025-06-30 06:00:00,3.60993897,378.542888,-39.98,-0.2846,1.66,移动止盈/止损,0.1413,-204.07,0.1413,-0.0398,0.2500,-0.004082,0
BOME-USDT-SWAP,多,2025-06-29 09:00:00,0.00155933,2025-06-30 12:00:00,0.00154585,1484063.544488,-22.78,-0.0984,2.76,移动止盈/止损,0.2363,-226.85,0.2363,-0.0420,1.1250,-0.002331,1
BONK-USDT-SWAP,多,2025-06-28 18:00:00,0.01448745,2025-06-30 21:00:00,0.01447455,66227.826935,-2.00,-0.0209,1.15,对齐失效,0.0972,-228.85,0.0972,-0.0422,2.1250,-0.000205,0
TRX-USDT-SWAP,多,2025-07-02 09:00:00,0.28203572,2025-07-03 04:00:00,0.28303169,24977.185892,16.41,0.0233,8.47,移动止盈/止损,0.7238,-212.45,0.7238,-0.0406,0.7917,0.001676,2
BTC-USDT-SWAP,多,2025-07-02 15:00:00,108745.86221530,2025-07-03 12:00:00,109108.98801000,0.031318,7.28,0.0214,4.09,移动止盈/止损,0.3491,-205.17,0.3491,-0.0399,0.8750,0.000743,1
BONK-USDT-SWAP,多,2025-07-03 06:00:00,0.01730373,2025-07-03 12:00:00,0.01656934,30030.679829,-22.66,-0.4362,0.61,移动止盈/止损,0.0530,-227.83,0.0530,-0.0421,0.2500,-0.002319,0
BNB-USDT-SWAP,多,2025-07-02 15:00:00,661.81617500,2025-07-03 15:00:00,656.89430400,6.411908,-36.63,-0.0863,5.07,移动止盈/止损,0.4343,-264.46,0.4343,-0.0457,1.0000,-0.003763,0
XLM-USDT-SWAP,多,2025-07-07 00:00:00,0.25338534,2025-07-07 08:00:00,0.24846515,5989.961270,-31.28,-0.2061,1.80,移动止盈/止损,0.1559,-295.74,0.1559,-0.0488,0.3333,-0.003223,0
DOGE-USDT-SWAP,多,2025-07-07 03:00:00,0.17499750,2025-07-07 12:00:00,0.16943305,6153.231701,-35.51,-0.3298,1.27,移动止盈/止损,0.1108,-331.25,0.1108,-0.0523,0.3750,-0.003673,0
ZEC-USDT-SWAP,多,2025-07-08 18:00:00,43.39477502,2025-07-09 02:00:00,40.95590400,37.452997,-93.24,-0.5737,1.90,移动止盈/止损,0.1719,-424.49,0.1719,-0.0614,0.3333,-0.009737,1
UNI-USDT-SWAP,多,2025-07-08 18:00:00,7.76577650,2025-07-09 03:00:00,7.55024490,132.982269,-29.88,-0.2894,1.22,移动止盈/止损,0.1068,-454.37,0.1068,-0.0643,0.3750,-0.003131,0
XLM-USDT-SWAP,多,2025-07-09 03:00:00,0.27588873,2025-07-09 17:00:00,0.28812119,20246.977071,240.82,0.4311,6.85,移动止盈/止损,0.6019,-213.55,0.6019,-0.0407,0.5833,0.024608,3
BCH-USDT-SWAP,多,2025-07-09 03:00:00,513.10260357,2025-07-10 14:00:00,502.87970700,7.662632,-83.01,-0.2111,4.67,移动止盈/止损,0.4006,-296.56,0.4006,-0.0489,1.4583,-0.008554,1
UNI-USDT-SWAP,多,2025-07-09 18:00:00,8.26782670,2025-07-10 14:00:00,8.08019190,123.338047,-24.35,-0.2388,1.21,移动止盈/止损,0.1042,-320.91,0.1042,-0.0513,0.8333,-0.002516,0
TRUMP-USDT-SWAP,多,2025-07-10 15:00:00,9.72807383,2025-07-11 06:00:00,9.91700820,418.726082,74.18,0.1821,4.94,移动止盈/止损,0.4174,-246.74,0.4174,-0.0440,0.6250,0.007605,2
LINK-USDT-SWAP,多,2025-07-08 18:00:00,14.83726436,2025-07-11 21:00:00,15.40345950,486.284189,266.51,0.3694,8.82,移动止盈/止损,0.7371,19.77,0.7371,-0.0179,3.1250,0.026598,3
XLM-USDT-SWAP,多,2025-07-10 18:00:00,0.32291536,2025-07-11 22:00:00,0.35379462,12717.967582,387.56,0.9437,5.16,移动止盈/止损,0.4404,407.33,0.4404,0.0000,1.1667,0.037239,3
HYPE-USDT-SWAP,多,2025-07-11 06:00:00,46.37290760,2025-07-12 12:00:00,46.29337020,82.190219,-11.11,-0.0291,4.57,移动止盈/止损,0.3698,396.22,0.3698,-0.0011,1.2500,-0.001068,2
HYPE-USDT-SWAP,多,2025-07-13 15:00:00,48.75502281,2025-07-14 15:00:00,47.71722780,58.979014,-64.62,-0.2247,3.41,移动止盈/止损,0.2778,331.60,0.2778,-0.0073,1.0000,-0.006255,1
XLM-USDT-SWAP,多,2025-07-13 18:00:00,0.48594301,2025-07-15 03:00:00,0.44147585,1581.669885,-71.21,-0.9265,0.88,移动止盈/止损,0.0757,260.39,0.0757,-0.0141,1.3750,-0.006941,1
